LOJA;CUPOM;DATA DA VENDA;ID_CLIENTE;VENDEDOR;COD_VENDA;QUANTIDADE TOTAL;VALOR VENDA;VALOR PAGO;VALOR CANCELADO
251313;2;2016-11-03 00:00:00.000;NULL;8080;BB ;0;0.00;0.00;28.90
251313;3;2016-11-03 00:00:00.000;NULL;8071;BB ;0;0.00;0.00;49.90
251313;4;2016-11-03 00:00:00.000;NULL;8071;BB ;1;35.90;35.90;0.00
251313;5;2016-11-03 00:00:00.000;NULL;8071;BB ;2;68.80;68.80;0.00
251313;6;2016-11-03 00:00:00.000;NULL;8071;BB ;0;0.00;0.00;47.90
251313;7;2016-11-03 00:00:00.000;NULL;8080;BB ;2;94.80;94.80;0.00
251313;8;2016-11-03 00:00:00.000;NULL;8071;BB ;2;74.80;74.80;0.00
251313;9;2016-11-03 00:00:00.000;NULL;8080;BB ;0;0.00;0.00;46.90
251313;10;2016-11-03 00:00:00.000;NULL;8071;BB ;0;0.00;0.00;86.60
251313;11;2016-11-03 00:00:00.000;NULL;8080;BB ;3;45.70;45.70;0.00
251313;12;2016-11-03 00:00:00.000;NULL;8071;BB ;4;110.60;110.60;0.00
251313;13;2016-11-03 00:00:00.000;NULL;8071;BB ;0;0.00;0.00;0.00
251313;14;2016-11-03 00:00:00.000;NULL;8071;BB ;1;62.90;62.90;0.00
251313;15;2016-11-03 00:00:00.000;NULL;8080;BB ;4;70.60;70.60;0.00
251313;16;2016-11-03 00:00:00.000;NULL;8071;BB ;2;61.80;61.80;0.00
251313;17;2016-11-03 00:00:00.000;NULL;8071;BB ;1;47.90;47.90;0.00
251313;18;2016-11-03 00:00:00.000;NULL;8071;BB ;1;28.90;28.90;0.00
251313;19;2016-11-03 00:00:00.000;NULL;UGB ;7O ;4;82.60;82.60;0.00
251313;20;2016-11-03 00:00:00.000;NULL;UGB ;7O ;3;119.70;119.70;0.00
251313;21;2016-11-03 00:00:00.000;NULL;8080;7O ;2;82.80;82.80;0.00
251313;22;2016-11-03 00:00:00.000;NULL;UGB ;7O ;2;50.80;50.80;0.00
251313;23;2016-11-03 00:00:00.000;NULL;UGB ;7O ;4;82.60;82.60;0.00
251313;24;2016-11-03 00:00:00.000;NULL;UGB ;7O ;1;58.90;58.90;0.00
251313;25;2016-11-03 00:00:00.000;NULL;UGB ;7O ;3;98.70;98.70;0.00
251313;26;2016-11-03 00:00:00.000;NULL;8071;7O ;2;86.80;86.80;0.00
251313;27;2016-11-03 00:00:00.000;NULL;8071;7O ;4;84.80;84.80;0.00
251313;28;2016-11-03 00:00:00.000;NULL;8080;7O ;2;61.80;61.80;0.00
251313;29;2016-11-03 00:00:00.000;NULL;8080;7O ;4;176.60;176.60;0.00
251313;30;2016-11-04 00:00:00.000;NULL;UED ;7O ;2;87.80;87.80;0.00
251313;31;2016-11-04 00:00:00.000;NULL;UGB ;7O ;1;14.90;14.90;0.00
251313;32;2016-11-04 00:00:00.000;NULL;8071;7O ;1;43.90;43.90;0.00
251313;33;2016-11-04 00:00:00.000;NULL;UGB ;7O ;1;14.90;14.90;0.00
251313;34;2016-11-04 00:00:00.000;NULL;UGB ;7O ;2;41.80;41.80;0.00
251313;35;2016-11-04 00:00:00.000;NULL;UED ;7O ;1;37.90;37.90;0.00
251313;36;2016-11-04 00:00:00.000;NULL;8071;7O ;2;83.80;83.80;0.00
251313;37;2016-11-04 00:00:00.000;NULL;UGB ;7O ;2;74.80;74.80;0.00
251313;38;2016-11-04 00:00:00.000;NULL;8071;7O ;1;35.90;35.90;0.00
251313;39;2016-11-04 00:00:00.000;NULL;UED ;7O ;1;46.90;46.90;0.00
